Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
z87_modBadgeperkRunAndGun,item_modifiers,mod,,,Run and Gun Badge,,Laufen und schießen Abzeichen
z87_modBadgeperkFlurryOfBlows,item_modifiers,mod,,,Flurry of Blows Badge,,Angriffswelle Abzeichen
z87_modBadgeperkLightArmor,item_modifiers,mod,,,Light Armor Badge,,Leichte Rüstung Abzeichen
z87_modBadgeperkParkour,item_modifiers,mod,,,Parkour Badge,,Parkour Abzeichen
z87_modBadgeperkHiddenStrike,item_modifiers,mod,,,Hidden Strike Badge,,Verborgener Schlag Abzeichen
z87_modBadgeperkFromTheShadows,item_modifiers,mod,,,From The Shadows Badge,,Aus dem Schatten Abzeichen
z87_modBadgeperkElectrocutioner,item_modifiers,mod,,,Electrocutioner Badge,,Henker Abzeichen
z87_modBadgeperkTurrets,item_modifiers,mod,,,Robotics Inventor Badge,,Geschützturmliebe Abzeichen
z87_modBadgeperkBetterBarter,item_modifiers,mod,,,Better Barter Badge,,Besser verhandeln Abzeichen
z87_modBadgeperkDaringAdventurer,item_modifiers,mod,,,The Daring Adventurer Badge,,Der wagemutige Abenteuerer Abzeichen
z87_modBadgeperkCharismaticNature,item_modifiers,mod,,,Charismatic Nature Badge,,Charismatischer Auftritt Abzeichen
z87_modBadgeperkPhysician,item_modifiers,mod,,,Physician Badge,,Arzt Abzeichen
z87_modBadgeperkAdvancedEngineering,item_modifiers,mod,,,Advanced Engineering Badge,,Fortgeschrittener Ingenieur Abzeichen
z87_modBadgeperkGreaseMonkey,item_modifiers,mod,,,Grease Monkey Badge,,Mechaniker  Abzeichen
