Key,english,japanese
DecorationPorcelainPlateStack10BlueDesc,"A stack (10) of Blue porcelain plates.","10枚スタックの青の皿"
DecorationPorcelainPlateStack3DoubleBlue,"Blue Porcelain Plate Double Stack (3)","青皿(3枚x2)"
DecorationPorcelainPlateStack3DoubleBlueDesc,"A double stack (3) of Blue porcelain plates.","3枚スタックx2の青の皿"
DecorationPorcelainPlateStack5DoubleBlue,"Blue Porcelain Plate Double Stack (5)","青皿(5枚x2)"
DecorationPorcelainPlateStack5DoubleBlueDesc,"A double stack (5) of Blue porcelain plates.","5枚スタックx2の青の皿"
DecorationPorcelainPlateStack10DoubleBlue,"Blue Porcelain Plate Double Stack (10)","青皿(10枚x2)"
DecorationPorcelainPlateStack10DoubleBlueDesc,"A double stack (10) of Blue porcelain plates.","10枚スタックx2の青の皿"
DecorationPorcelainPlateRedBlueStack3,"Red and Blue Porcelain Plate Stack (3)","赤と青皿(3枚)"
DecorationPorcelainPlateRedBlueStack3Desc,"A stack (3) of Red and Blue porcelain plates.","3枚スタックの赤と青の皿"
DecorationPorcelainPlateRedBlueStack5,"Red and Blue Porcelain Plate Stack (5)","赤と青皿(5枚)"
DecorationPorcelainPlateRedBlueStack5Desc,"A stack (5) of Red and Blue porcelain plates.","5枚スタックの赤と青の皿"
DecorationPorcelainPlateRedBlueStack10,"Red and Blue Porcelain Plate Stack (10)","赤と青皿(10枚)"
DecorationPorcelainPlateRedBlueStack10Desc,"A stack (10) of Red and Blue porcelain plates.","10枚スタックの赤と青の皿"
DecorationPorcelainPlateRedBlueDoubleStack3,"Red and Blue Porcelain Plate Double Stack (3)","赤と青皿(3枚x2)"
DecorationPorcelainPlateRedBlueDoubleStack3Desc,"A double stack (3) of Red and Blue porcelain plates.","3枚スタックx2の赤と青の皿"
DecorationPorcelainPlateRedBlueDoubleStack5,"Red and Blue Porcelain Plate Double Stack (5)","赤と青皿(5枚x2)"
DecorationPorcelainPlateRedBlueDoubleStack5Desc,"A double stack (5) of Red and Blue porcelain plates.","5枚スタックx2の赤と青の皿"
DecorationPorcelainPlateRedBlueDoubleStack10,"Red and Blue Porcelain Plate Double Stack (10)","赤と青皿(10枚x2)"
DecorationPorcelainPlateRedBlueDoubleStack10Desc,"A double stack (10) of Red and Blue porcelain plates.","10枚スタックx2の赤と青の皿"
DecorationGlassCupSingle,"Glass Cup Single","グラス(x1)"
DecorationGlassCupSingleDesc,"A single glass cup.","ガラスのコップ"
DecorationGlassCupDouble,"Glass Cup Double","グラス(x2)"
DecorationGlassCupDoubleDesc,"A double glass cup.","ガラスのコップ2つ"
DecorationGlassCupTriple,"Glass Cup Triple","グラス(x3)"
DecorationGlassCupTripleDesc,"A triple glass cup.","ガラスのコップ3つ"
DecorationKitchenFaucetBlack,"Kitchen Faucet - Black","キッチン用蛇口(黒)"
DecorationKitchenFaucetBlackDesc,"A black faucet. Turn on and off with E.","黒色の蛇口\n\nEでオン/オフ可能"
DecorationKitchenFaucetSilver,"Kitchen Faucet - Silver","キッチン用蛇口(銀)"
DecorationKitchenFaucetSilverDesc,"A silver faucet. Turn on and off with E.","銀色の蛇口\n\nEでオン/オフ可能"
DecorationKitchenFaucetBrass,"Kitchen Faucet - Brass","キッチン用蛇口(金)"
DecorationKitchenFaucetBrassDesc,"A brass faucet. Turn on and off with E.","金色の蛇口\n\nEでオン/オフ可能"
DecorationKitchenCuttingBoardSingleCentered,"Cutting Board - Centered","まな板(中心)"
DecorationKitchenCuttingBoardSingleCenteredDesc,"A cutting board, centered.","中心に設置可能なまな板"
DecorationKitchenCuttingBoardSingleOuter,"Cutting Board - Outer","まな板(端)"
DecorationKitchenCuttingBoardSingleOuterDesc,"A cutting board, outer.","端に設置可能なまな板"
DecorationKitchenCuttingBoardWithKnifeCentered,"Cutting Board with Knife - Centered","まな板と包丁(中心)"
DecorationKitchenCuttingBoardWithKnifeCenteredDesc,"A cutting board with a knife, centered.","中心に設置可能な包丁付きまな板"
DecorationKitchenCuttingBoardWithKnifeOuter,"Cutting Board with Knife - Outer","まな板と包丁(端)"
DecorationKitchenCuttingBoardWithKnifeOuterDesc,"A cutting board with a knife, outer.","端に設置可能な包丁付きまな板"
DecorationCoffeeCup,"Coffee Cup - Centered","コーヒーカップ(中心)"
DecorationCoffeeCupDesc,"A centered coffee cup.","中心に設置可能なコーヒーカップ"
DecorationCoffeeCupOuter,"Coffee Cup - Outer","コーヒーカップ(端)"
DecorationCoffeeCupOuterDesc,"A coffee cup on the edge of a block.","端に設置可能なコーヒーカップ"
DecorationCoffeeCupHalfOuter,"Coffee Cup - Half Block Down Outer","コーヒーカップ(端/オフセット)"
DecorationCoffeeCupHalfOuterDesc,"A coffee cup on the edge of a block, lowered by 1/2 a block.","端に設置可能なコーヒーカップ\n\nコーヒーテーブルなどの低いテーブルに設置できるよう、1/2ブロック分ずらしてあります"
DecorationCoffeeCupHalf,"Coffee Cup - Half Block Down Centered","コーヒーカップ(中心/オフセット)"
DecorationCoffeeCupHalfDesc,"A centered coffee cup, lowered by 1/2 a block.","中心に設置可能なコーヒーカップ\n\nコーヒーテーブルなどの低いテーブルに設置できるよう、1/2ブロック分ずらしてあります"
DecorationAppleSingleCenter,"Apple Single - Centered","リンゴ(1つ/センター)"
DecorationAppleSingleCenterWall,"Apple Single - Centered Wall","リンゴ(1つ/センター/壁)"
DecorationAppleTripleCenter,"Apple Triple - Centered","リンゴ(3つ/センター)"
DecorationAppleTripleCenterWall,"Apple Triple - Centered Wall","リンゴ(3つ/センター/壁)"
DecorationAppleBasketSingleCenter,"Apple Basket - Centered","リンゴ入り籠(センター)"
DecorationAppleBasketSingleCenterWall,"Apple Basket - Centered Wall","リンゴ入り籠(センター/壁)"
DecorationBananaSingleCenter,"Banana Single - Centered","バナナ(1つ/センター)"
DecorationBananaSingleCenterWall,"Banana Single - Centered Wall","バナナ(1つ/センター/壁)"
DecorationBananaTripleCenter,"Banana Triple - Centered","バナナ(3つ/センター)"
DecorationBananaTripleCenterWall,"Banana Triple - Centered Wall","バナナ(3つ/センター/壁)"
DecorationBananaBasketSingleCenter,"Banana Basket - Centered","バナナ入り籠(センター)"
DecorationBananaBasketSingleCenterWall,"Banana Basket - Centered Wall","バナナ入り籠(センター/壁)"
DecorationCarrotBunchPlanted,"Carrots - Planted","植えてある人参"
DecorationCarrotBunchRooted,"Carrots - Uprooted","抜いてある人参"

----------------Living Room Blocks--------------------
DecorationBlindsWood1x1,"Dark Wood Blinds 1x1x1","木製ブラインド(ダーク/1x1x1)"
DecorationBlindsWood1x1Desc,"A single block sized set of blinds. You can open these in three ways. 45, 90, and fully open. Press E to cycle through.","1ブロックサイズのブラインド\n\n羽は45度、90度、完全に開くことが出来ます\n\nEキーを押すと開き方の変更が可能です"
DecorationBlindsLightWood1x1,"Light Wood Blinds 1x1x1","木製ブラインド(ライト/1x1x1)"
DecorationBlindsLightWood1x1Desc,"A single block sized set of blinds. You can open these in three ways. 45, 90, and fully open. Press E to cycle through.","1ブロックサイズのブラインド\n\n羽は45度、90度、完全に開くことが出来ます\n\nEキーを押すと開き方の変更が可能です"
DecorationBlindsWood2x1,"Dark Wood Blinds 1x2x1","木製ブラインド(ダーク/1x2x1)"
DecorationBlindsWood2x1Desc,"A double block sized set of blinds. You can open these in three ways. 45, 90, and fully open. Press E to cycle through.","2ブロックサイズのブラインド\n\n羽は45度、90度、完全に開くことが出来ます\n\nEキーを押すと開き方の変更が可能です"
DecorationBlindsLightWood2x1,"Light Wood Blinds 1x1x1","木製ブラインド(ライト/1x2x1)"
DecorationBlindsLightWood2x1Desc,"A double block sized set of blinds. You can open these in three ways. 45, 90, and fully open. Press E to cycle through.","2ブロックサイズのブラインド\n\n羽は45度、90度、完全に開くことが出来ます\n\nEキーを押すと開き方の変更が可能です"
DecorationWoodWindowDark1x1,"Wood Windows - Dark 1x1","木製窓(ダーク/1x1)"
DecorationWoodWindowDark1x1Desc,"1x1 dark windows. Open and close with E.","1x1サイズの暗い色の窓\n\nEキーで開閉できます"
DecorationWoodWindowDarkOuter1x1,"Wood Windows - Dark 1x1 Outer","木製窓(ダーク/センター1x1)"
DecorationWoodWindowDarkOuter1x1Desc,"1x1 dark windows, placed on the edge. Open and close with E.","1x1サイズの暗い色の窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationWoodWindowDark2x2,"Wood Windows - Dark 2x2","木製窓(ダーク/2x2)"
DecorationWoodWindowDark2x2Desc,"2x2 dark windows. Open and close with E.","2x2サイズの暗い色の窓\n\nEキーで開閉できます"
DecorationWoodWindowDarkOuter2x2,"Wood Windows - Dark 2x2 Outer","木製窓(ダーク/センター2x2)"
DecorationWoodWindowDarkOuter2x2Desc,"2x2 dark windows, placed on the edge. Open and close with E.","2x2サイズの暗い色の窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationWoodWindowMedium1x1,"Wood Windows - Medium 1x1","木製窓(ミディアム/1x1)"
DecorationWoodWindowMedium1x1Desc,"1x1 medium windows. Open and close with E.","1x1サイズの窓\n\nEキーで開閉できます"
DecorationWoodWindowMediumOuter1x1,"Wood Windows - Medium 1x1 Outer","木製窓(ミディアム/センター1x1)"
DecorationWoodWindowMediumOuter1x1Desc,"1x1 medium windows, placed on the edge. Open and close with E.","1x1サイズの窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationWoodWindowMedium2x2,"Wood Windows - Medium 2x2","木製窓(ミディアム/2x2)"
DecorationWoodWindowMedium2x2Desc,"2x2 medium windows. Open and close with E.","2x2サイズの窓\n\nEキーで開閉できます"
DecorationWoodWindowMediumOuter2x2,"Wood Windows - Medium 2x2 Outer","木製窓(ミディアム/センター2x2)"
DecorationWoodWindowMediumOuter2x2Desc,"2x2 medium windows, placed on the edge. Open and close with E.","2x2サイズの窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationWoodWindowLight1x1,"Wood Windows - Light 1x1","木製窓(ライト/1x1)"
DecorationWoodWindowLight1x1Desc,"1x1 light windows. Open and close with E.","1x1サイズの明るい色の窓\n\nEキーで開閉できます"
DecorationWoodWindowLightOuter1x1,"Wood Windows - Light 1x1 Outer","木製窓(ライト/センター1x1)"
DecorationWoodWindowLightOuter1x1Desc,"1x1 light windows, placed on the edge. Open and close with E.","1x1サイズの明るい色の窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationWoodWindowLight2x2,"Wood Windows - Light 2x2","木製窓(ライト/2x2)"
DecorationWoodWindowLight2x2Desc,"2x2 light windows. Open and close with E.","2x2サイズの明るい色の窓\n\nEキーで開閉できます"
DecorationWoodWindowLightOuter2x2,"Wood Windows - Light 2x2 Outer","ライト/センター2x2"
DecorationWoodWindowLightOuter2x2Desc,"2x2 light windows, placed on the edge. Open and close with E.","2x2サイズの明るい色の窓\n\n端に設置可能\n\nEキーで開閉できます"
DecorationFlowerPillowWhiteSingle,"Flower Pillow White - Single","白/花柄クッション(x1)"
DecorationFlowerPillowWhiteSingleDesc,"A single white flower pillow","白色の花柄クッション"
DecorationFlowerPillowWhiteDouble,"Flower Pillow White - Double","白/花柄クッション(x2)"
DecorationFlowerPillowWhiteDoubleDesc,"A double white flower pillow","白色の花柄クッション2つ"
DecorationFlowerPillowWhiteTriple,"Flower Pillow White - Triple","白/花柄クッション(x3)"
DecorationFlowerPillowWhiteTripleDesc,"A triple white flower pillow","白色の花柄クッション3つ"
DecorationFlowerPillowBlueSingle,"Flower Pillow Blue - Single","青/花柄クッション(x1)"
DecorationFlowerPillowBlueSingleDesc,"A single blue flower pillow","青色の花柄クッション"
DecorationFlowerPillowBlueDouble,"Flower Pillow Blue - Double","青/花柄クッション(x2)"
DecorationFlowerPillowBlueDoubleDesc,"A double blue flower pillow","青色の花柄クッション2つ"
DecorationFlowerPillowBlueTriple,"Flower Pillow Blue - Triple","青/花柄クッション(x3)"
DecorationFlowerPillowBlueTripleDesc,"A triple blue flower pillow","青色の花柄クッション3つ"
DecorationFlowerPillowGreenSingle,"Flower Pillow Green - Single","緑/花柄クッション(x1)"
DecorationFlowerPillowGreenSingleDesc,"A single green flower pillow","緑色の花柄クッション"
DecorationFlowerPillowGreenDouble,"Flower Pillow Green - Double","緑/花柄クッション(x2)"
DecorationFlowerPillowGreenDoubleDesc,"A double green flower pillow","緑色の花柄クッション2つ"
DecorationFlowerPillowGreenTriple,"Flower Pillow Green - Triple","緑/花柄クッション(x3)"
DecorationFlowerPillowGreenTripleDesc,"A triple green flower pillow","緑色の花柄クッション3つ"
DecorationFlowerPillowYellowSingle,"Flower Pillow Yellow - Single","黄/花柄クッション(x1)"
DecorationFlowerPillowYellowSingleDesc,"A single yellow flower pillow","黄色の花柄クッション"
DecorationFlowerPillowYellowDouble,"Flower Pillow Yellow - Double","黄/花柄クッション(x2)"
DecorationFlowerPillowYellowDoubleDesc,"A double yellow flower pillow","黄色の花柄クッション2つ"
DecorationFlowerPillowYellowTriple,"Flower Pillow Yellow - Triple","黄/花柄クッション(x3)"
DecorationFlowerPillowYellowTripleDesc,"A triple yellow flower pillow","黄色の花柄クッション3つ"
DecorationFlowerPillowOrangeSingle,"Flower Pillow Orange - Single","オレンジ/花柄クッション(x1)"
DecorationFlowerPillowOrangeSingleDesc,"A single orange flower pillow","オレンジ色の花柄クッション"
DecorationFlowerPillowOrangeDouble,"Flower Pillow Orange - Double","オレンジ/花柄クッション(x2)"
DecorationFlowerPillowOrangeDoubleDesc,"A double orange flower pillow","オレンジ色の花柄クッション2つ"
DecorationFlowerPillowOrangeTriple,"Flower Pillow Orange - Triple","オレンジ/花柄クッション(x3)"
DecorationFlowerPillowOrangeTripleDesc,"A triple orange flower pillow","オレンジ色の花柄クッション3つ"
DecorationFlowerPillowRedSingle,"Flower Pillow Red - Single","赤/花柄クッション(x1)"
DecorationFlowerPillowRedSingleDesc,"A single red flower pillow","赤色の花柄クッション"
DecorationFlowerPillowRedDouble,"Flower Pillow Red - Double","赤/花柄クッション(x2)"
DecorationFlowerPillowRedDoubleDesc,"A double red flower pillow","赤色の花柄クッション2つ"
DecorationFlowerPillowRedTriple,"Flower Pillow Red - Triple","赤/花柄クッション(x3)"
DecorationFlowerPillowRedTripleDesc,"A triple red flower pillow","赤色の花柄クッション3つ"
DecorationFlowerPillowPinkSingle,"Flower Pillow Pink - Single","ピンク/花柄クッション(x1)"
DecorationFlowerPillowPinkSingleDesc,"A single pink flower pillow","ピンク色の花柄クッション"
DecorationFlowerPillowPinkDouble,"Flower Pillow Pink - Double","ピンク/花柄クッション(x2)"
DecorationFlowerPillowPinkDoubleDesc,"A double pink flower pillow","ピンク色の花柄クッション2つ"
DecorationFlowerPillowPinkTriple,"Flower Pillow Pink - Triple","ピンク/花柄クッション(x3)"
DecorationFlowerPillowPinkTripleDesc,"A triple pink flower pillow","ピンク色の花柄クッション3つ"
DecorationFlowerPillowPurpleSingle,"Flower Pillow Purple - Single","紫/花柄クッション(x1)"
DecorationFlowerPillowPurpleSingleDesc,"A single purple flower pillow","紫色の花柄クッション"
DecorationFlowerPillowPurpleDouble,"Flower Pillow Purple - Double","紫/花柄クッション(x2)"
DecorationFlowerPillowPurpleDoubleDesc,"A double purple flower pillow","紫色の花柄クッション2つ"
DecorationFlowerPillowPurpleTriple,"Flower Pillow Purple - Triple","紫/花柄クッション(x3)"
DecorationFlowerPillowPurpleTripleDesc,"A triple purple flower pillow","紫色の花柄クッション3つ"
DecorationBasicPillowWhiteSingle,"Basic Pillow White - Single","白/クッション(x1)"
DecorationBasicPillowWhiteSingleDesc,"A single white pillow","白色のクッション"
DecorationBasicPillowWhiteDouble,"Basic Pillow White - Double","白/クッション(x2)"
DecorationBasicPillowWhiteDoubleDesc,"A double white pillow","白色のクッション2つ"
DecorationBasicPillowWhiteTriple,"Basic Pillow White - Triple","白/クッション(x3)"
DecorationBasicPillowWhiteTripleDesc,"A triple white pillow","白色のクッション3つ"
DecorationBasicPillowBlueSingle,"Basic Pillow Blue - Single","青/クッション(x1)"
DecorationBasicPillowBlueSingleDesc,"A single blue pillow","青色のクッション"
DecorationBasicPillowBlueDouble,"Basic Pillow Blue - Double","青/クッション(x2)"
DecorationBasicPillowBlueDoubleDesc,"A double blue pillow","青色のクッション2つ"
DecorationBasicPillowBlueTriple,"Basic Pillow Blue - Triple","青/クッション(x3)"
DecorationBasicPillowBlueTripleDesc,"A triple blue pillow","青色のクッション3つ"
DecorationBasicPillowGreenSingle,"Basic Pillow Green - Single","緑/クッション(x1)"
DecorationBasicPillowGreenSingleDesc,"A single green pillow","緑色のクッション"
DecorationBasicPillowGreenDouble,"Basic Pillow Green - Double","緑/クッション(x2)"
DecorationBasicPillowGreenDoubleDesc,"A double green pillow","緑色のクッション2つ"
DecorationBasicPillowGreenTriple,"Basic Pillow Green - Triple","緑/クッション(x3)"
DecorationBasicPillowGreenTripleDesc,"A triple green pillow","緑色のクッション3つ"
DecorationBasicPillowYellowSingle,"Basic Pillow Yellow - Single","黄/クッション(x1)"
DecorationBasicPillowYellowSingleDesc,"A single yellow pillow","黄色のクッション"
DecorationBasicPillowYellowDouble,"Basic Pillow Yellow - Double","黄/クッション(x2)"
DecorationBasicPillowYellowDoubleDesc,"A double yellow pillow","黄色のクッション2つ"
DecorationBasicPillowYellowTriple,"Basic Pillow Yellow - Triple","黄/クッション(x3)"
DecorationBasicPillowYellowTripleDesc,"A triple yellow pillow","黄色のクッション3つ"
DecorationBasicPillowOrangeSingle,"Basic Pillow Orange - Single","オレンジ/クッション(x1)"
DecorationBasicPillowOrangeSingleDesc,"A single orange pillow","オレンジ色のクッション"
DecorationBasicPillowOrangeDouble,"Basic Pillow Orange - Double","オレンジ/クッション(x2)"
DecorationBasicPillowOrangeDoubleDesc,"A double orange pillow","オレンジ色のクッション2つ"
DecorationBasicPillowOrangeTriple,"Basic Pillow Orange - Triple","オレンジ/クッション(x3)"
DecorationBasicPillowOrangeTripleDesc,"A triple orange pillow","オレンジ色のクッション3つ"
DecorationBasicPillowRedSingle,"Basic Pillow Red - Single","赤/クッション(x1)"
DecorationBasicPillowRedSingleDesc,"A single red pillow","赤色のクッション"
DecorationBasicPillowRedDouble,"Basic Pillow Red - Double","赤/クッション(x2)"
DecorationBasicPillowRedDoubleDesc,"A double red pillow","赤色のクッション2つ"
DecorationBasicPillowRedTriple,"Basic Pillow Red - Triple","赤/クッション(x3)"
DecorationBasicPillowRedTripleDesc,"A triple red pillow","赤色のクッション3つ"
DecorationBasicPillowPinkSingle,"Basic Pillow Pink - Single","ピンク/クッション(x1)"
DecorationBasicPillowPinkSingleDesc,"A single pink pillow","ピンク色のクッション"
DecorationBasicPillowPinkDouble,"Basic Pillow Pink - Double","ピンク/クッション(x2)"
DecorationBasicPillowPinkDoubleDesc,"A double pink pillow","ピンク色のクッション2つ"
DecorationBasicPillowPinkTriple,"Basic Pillow Pink - Triple","ピンク/クッション(x3)"
DecorationBasicPillowPinkTripleDesc,"A triple pink pillow","ピンク色のクッション3つ"
DecorationBasicPillowPurpleSingle,"Basic Pillow Purple - Single","紫/クッション(x1)"
DecorationBasicPillowPurpleSingleDesc,"A single purple pillow","紫色のクッション"
DecorationBasicPillowPurpleDouble,"Basic Pillow Purple - Double","紫/クッション(x2)"
DecorationBasicPillowPurpleDoubleDesc,"A double purple pillow","紫色のクッション2つ"
DecorationBasicPillowPurpleTriple,"Basic Pillow Purple - Triple","紫/クッション(x3)"
DecorationBasicPillowPurpleTripleDesc,"A triple purple pillow","紫色のクッション3つ"
DecorationMinilampWhiteCentered,"Round Lamp Centered - White","丸ランプ(白/中心)"
DecorationMinilampWhiteCenteredDesc,"A round white lamp. Turn on and off with E.","白色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampBlackCentered,"Round Lamp Centered - Black","丸ランプ(黒/中心)"
DecorationMinilampBlackCenteredDesc,"A round white lamp. Turn on and off with E.","黒色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampBlueCentered,"Round Lamp Centered - Blue","丸ランプ(青/中心)"
DecorationMinilampBlueCenteredDesc,"A round blue lamp. Turn on and off with E.","青色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampGreenCentered,"Round Lamp Centered - Green","丸ランプ(緑/中心)"
DecorationMinilampGreenCenteredDesc,"A round green lamp. Turn on and off with E.","緑色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampYellowCentered,"Round Lamp Centered - Yellow","丸ランプ(黄/中心)"
DecorationMinilampYellowCenteredDesc,"A round yellow lamp. Turn on and off with E.","黄色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampRedCentered,"Round Lamp Centered - Red","丸ランプ(赤/中心)"
DecorationMinilampRedCenteredDesc,"A round red lamp. Turn on and off with E.","赤色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampPinkCentered,"Round Lamp Centered - Pink","丸ランプ(ピンク/中心)"
DecorationMinilampPinkCenteredDesc,"A round pink lamp. Turn on and off with E.","ピンク色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampPurpleCentered,"Round Lamp Centered - Purple","丸ランプ(紫/中心)"
DecorationMinilampPurpleCenteredDesc,"A round purple lamp. Turn on and off with E.","紫色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampWhiteOuter,"Round Lamp Outer - White","丸ランプ(白/端)"
DecorationMinilampWhiteOuterDesc,"A round white lamp. Turn on and off with E.","白色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampBlackOuter,"Round Lamp Outer - Black","丸ランプ(黒/端)"
DecorationMinilampBlackOuterDesc,"A round white lamp. Turn on and off with E.","黒色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampBlueOuter,"Round Lamp Outer - Blue","丸ランプ(青/端)"
DecorationMinilampBlueOuterDesc,"A round blue lamp. Turn on and off with E.","青色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampGreenOuter,"Round Lamp Outer - Green","丸ランプ(緑/端)"
DecorationMinilampGreenOuterDesc,"A round green lamp. Turn on and off with E.","緑色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampYellowOuter,"Round Lamp Outer - Yellow","丸ランプ(黄/端)"
DecorationMinilampYellowOuterDesc,"A round yellow lamp. Turn on and off with E.","黄色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampRedOuter,"Round Lamp Outer - Red","丸ランプ(赤/端)"
DecorationMinilampRedOuterDesc,"A round red lamp. Turn on and off with E.","赤色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampPinkOuter,"Round Lamp Outer - Pink","丸ランプ(ピンク/端)"
DecorationMinilampPinkOuterDesc,"A round pink lamp. Turn on and off with E.","ピンク色の丸みのあるランプ\n\nEでオン/オフ可能"
DecorationMinilampPurpleOuter,"Round Lamp Outer - Purple","丸ランプ(紫/端)"
